model,model_map
-1.6620213985443115,0
-1.6601049900054932,1
-1.6581885814666748,2
-1.656272053718567,3
-1.6543556451797483,4
-1.6524392366409302,5
-1.6505228281021118,6
-1.6486064195632937,7
-1.646690011024475,8
-1.6447736024856567,9
-1.6428570747375488,10
-1.6409406661987305,11
-1.639024257659912,12
-1.6371078491210938,13
-1.6351914405822754,14
-1.633275032043457,15
-1.631358623504639,16
-1.6294420957565308,17
-1.6275256872177124,18
-1.625609278678894,19
-1.6236928701400757,20
-1.621776461601257,21
-1.619860053062439,22
-1.6179436445236206,23
-1.6160271167755127,24
-1.6141107082366943,25
-1.612194299697876,26
-1.6102778911590576,27
-1.6083614826202393,28
-1.606445074081421,29
-1.6045286655426023,30
-1.6026121377944946,31
-1.6006957292556765,32
-1.598779320716858,33
-1.5968629121780396,34
-1.5949465036392212,35
-1.5930300951004028,36
-1.5911136865615845,37
-1.5891971588134766,38
-1.5872807502746582,39
-1.5853643417358398,40
-1.5834479331970217,41
-1.5815315246582031,42
-1.5796151161193848,43
-1.5776985883712769,44
-1.5757821798324585,45
-1.57386577129364,46
-1.5719493627548218,47
-1.5700329542160034,48
-1.568116545677185,49
-1.5662001371383667,50
-1.5642836093902588,51
-1.5623672008514404,52
-1.560450792312622,53
-1.5585343837738037,54
-1.5566179752349854,55
-1.554701566696167,56
-1.5527851581573486,57
-1.5508686304092407,58
-1.5489522218704224,59
-1.547035813331604,60
-1.5451194047927856,61
-1.5432029962539673,62
-1.541286587715149,63
-1.5393701791763306,64
-1.5374536514282229,65
-1.5355372428894043,66
-1.533620834350586,67
-1.5317044258117676,68
-1.5297880172729492,69
-1.5278716087341309,70
-1.5259552001953125,71
-1.5240386724472046,72
-1.5221222639083862,73
-1.520205855369568,74
-1.5182894468307495,75
-1.5163730382919312,76
-1.5144566297531128,77
-1.5125402212142944,78
-1.5106236934661863,79
-1.5087072849273682,80
-1.5067908763885498,81
-1.5048744678497314,82
-1.502958059310913,83
-1.5010416507720947,84
-1.4991252422332764,85
-1.4972087144851685,86
-1.49529230594635,87
-1.4933758974075315,88
-1.4914594888687134,89
-1.489543080329895,90
-1.4876266717910769,91
-1.4857102632522583,92
-1.4837937355041504,93
-1.481877326965332,94
-1.4799609184265137,95
-1.478044509887695,96
-1.476128101348877,97
-1.4742116928100586,98
-1.472295165061951,99
-1.4703787565231323,100
-1.468462347984314,101
-1.4665459394454956,102
-1.4646295309066772,103
-1.4627131223678589,104
-1.4607967138290403,105
-1.4588801860809326,106
-1.4569637775421145,107
-1.455047369003296,108
-1.4531309604644775,109
-1.4512145519256592,110
-1.4492981433868408,111
-1.4473817348480225,112
-1.4454652070999146,113
-1.4435487985610962,114
-1.4416323900222778,115
-1.4397159814834597,116
-1.4377995729446411,117
-1.4358831644058228,118
-1.4339667558670044,119
-1.4320502281188965,120
-1.430133819580078,121
-1.4282174110412598,122
-1.4263010025024414,123
-1.424384593963623,124
-1.422468185424805,125
-1.4205517768859863,126
-1.4186352491378784,127
-1.41671884059906,128
-1.4148024320602417,129
-1.4128860235214231,130
-1.410969614982605,131
-1.4090532064437866,132
-1.4071367979049685,133
-1.4052202701568604,134
-1.403303861618042,135
-1.4013874530792236,136
-1.3994710445404053,137
-1.397554636001587,138
-1.3956382274627686,139
-1.3937218189239502,140
-1.3918052911758425,141
-1.389888882637024,142
-1.3879724740982056,143
-1.3860560655593872,144
-1.3841396570205688,145
-1.3822232484817505,146
-1.380306839942932,147
-1.3783903121948242,148
-1.376473903656006,149
-1.3745574951171875,150
-1.3726410865783691,151
-1.3707246780395508,152
-1.3688082695007324,153
-1.366891860961914,154
-1.3649753332138062,155
-1.3630589246749878,156
-1.3611425161361694,157
-1.359226107597351,158
-1.3573096990585327,159
-1.3553932905197144,160
-1.3534767627716064,161
-1.351560354232788,162
-1.3496439456939695,163
-1.3477275371551514,164
-1.345811128616333,165
-1.3438947200775146,166
-1.3419783115386963,167
-1.3400617837905884,168
-1.33814537525177,169
-1.3362289667129517,170
-1.3343125581741333,171
-1.332396149635315,172
-1.3304797410964966,173
-1.3285633325576782,174
-1.3266468048095703,175
-1.324730396270752,176
-1.3228139877319336,177
-1.3208975791931152,178
-1.3189811706542969,179
-1.3170647621154783,180
-1.3151483535766602,181
-1.3132318258285522,182
-1.311315417289734,183
-1.3093990087509155,184
-1.3074826002120972,185
-1.3055661916732788,186
-1.3036497831344604,187
-1.301733374595642,188
-1.2998168468475342,189
-1.2979004383087158,190
-1.2959840297698977,191
-1.294067621231079,192
-1.2921512126922607,193
-1.2902348041534424,194
-1.288318395614624,195
-1.286401867866516,196
-1.2844854593276978,197
-1.2825690507888794,198
-1.280652642250061,199
-1.278736233711243,200
-1.2768198251724243,201
-1.274903416633606,202
-1.272986888885498,203
-1.2710704803466797,204
-1.269154071807861,205
-1.267237663269043,206
-1.2653212547302246,207
-1.2634048461914062,208
-1.261488437652588,209
-1.25957190990448,210
-1.2576555013656616,211
-1.2557390928268433,212
-1.253822684288025,213
-1.2519062757492063,214
-1.2499898672103882,215
-1.2480733394622805,216
-1.246156930923462,217
-1.2442405223846436,218
-1.2423241138458252,219
-1.2404077053070068,220
-1.2384912967681885,221
-1.23657488822937,222
-1.2346583604812622,223
-1.2327419519424438,224
-1.2308255434036257,225
-1.2289091348648071,226
-1.2269927263259888,227
-1.2250763177871704,228
-1.223159909248352,229
-1.221243381500244,230
-1.2193269729614258,231
-1.2174105644226074,232
-1.215494155883789,233
-1.2135777473449707,234
-1.2116613388061523,235
-1.209744930267334,236
-1.207828402519226,237
-1.2059119939804075,238
-1.2039955854415894,239
-1.202079176902771,240
-1.2001627683639526,241
-1.1982463598251345,242
-1.196329951286316,243
-1.194413423538208,244
-1.1924970149993896,245
-1.1905806064605713,246
-1.188664197921753,247
-1.1867477893829346,248
-1.1848313808441162,249
-1.182914972305298,250
-1.18099844455719,251
-1.1790820360183716,252
-1.1771656274795532,253
-1.1752492189407349,254
-1.1733328104019165,255
-1.171416401863098,256
-1.1694999933242798,257
-1.167583465576172,258
-1.1656670570373535,259
-1.1637506484985352,260
-1.1618342399597168,261
-1.1599178314208984,262
-1.15800142288208,263
-1.1560850143432615,264
-1.1541684865951538,265
-1.1522520780563354,266
-1.150335669517517,267
-1.1484192609786987,268
-1.1465028524398804,269
-1.144586443901062,270
-1.142669916152954,271
-1.1407535076141355,272
-1.1388370990753174,273
-1.136920690536499,274
-1.1350042819976809,275
-1.1330878734588623,276
-1.131171464920044,277
-1.129254937171936,278
-1.1273385286331177,279
-1.125422120094299,280
-1.123505711555481,281
-1.1215893030166626,282
-1.1196728944778442,283
-1.117756485939026,284
-1.115839958190918,285
-1.1139235496520996,286
-1.1120071411132812,287
-1.110090732574463,288
-1.1081743240356443,289
-1.1062579154968262,290
-1.1043415069580078,291
-1.1024249792099,292
-1.1005085706710815,293
-1.0985921621322632,294
-1.0966757535934448,295
-1.0947593450546265,296
-1.092842936515808,297
-1.0909265279769895,298
-1.0890100002288818,299
-1.0870935916900637,300
