transmission,transmission_map
-2.280909776687622,0
-2.204030752182007,1
-2.127151727676392,2
-2.0502727031707764,3
-1.973393797874451,4
-1.8965147733688357,5
-1.81963574886322,6
-1.7427568435668943,7
-1.6658778190612793,8
-1.588998794555664,9
-1.5121197700500488,10
-1.4352407455444336,11
-1.358361840248108,12
-1.281482815742493,13
-1.2046037912368774,14
-1.1277247667312622,15
-1.050845742225647,16
-0.9739667773246764,17
-0.8970877528190613,18
-0.8202087879180908,19
-0.7433297634124756,20
-0.6664507985115051,21
-0.5895717740058899,22
-0.5126927495002747,23
-0.4358137547969818,24
-0.3589347600936889,25
-0.2820557653903961,26
-0.205176755785942,27
-0.1282977610826492,28
-0.0514187552034854,29
0.0254602450877428,30
0.1023392453789711,31
0.1792182475328445,32
0.2560972571372986,33
0.3329762518405914,34
0.4098552465438843,35
0.4867342412471771,36
0.56361323595047,37
0.6404922604560852,38
0.7173712849617004,39
0.7942502498626709,40
0.8711292743682861,41
0.9480082392692566,42
1.0248873233795166,43
1.1017662286758425,44
1.1786452531814575,45
1.2555242776870728,46
1.332403302192688,47
1.4092823266983032,48
1.486161231994629,49
1.563040256500244,50
1.6399192810058594,51
