ext_col,ext_col_map
Agate Black Metallic,0
Alfa White,1
Alpine White,2
Alta White,3
Ametrin Metallic,4
Anodized Blue Metallic,5
Anthracite Blue Metallic,6
Antimatter Blue Metallic,7
Apex Blue,8
Arancio Borealis,9
Arctic Gray Metallic,10
Arctic White,11
Atomic Silver,12
Aurora Black,13
Aventurine Green Metallic,14
BLACK,15
BLU ELEOS,16
BLUE,17
Balloon White,18
Baltic Gray,19
Barcelona Red,20
Bayside Blue,21
Beige,22
Beluga Black,23
Bianco Icarus Metallic,24
Bianco Isis,25
Bianco Monocerus,26
Billet Clearcoat Metallic,27
Billet Silver Metallic Clearcoat,28
Black,29
Black Cherry,30
Black Clearcoat,31
Black Forest Green,32
Black Noir Pearl,33
Black Obsidian,34
Black Raven,35
Black Sapphire Metallic,36
Blu,37
Blue,38
Blue Caelum,39
Blue Metallic,40
Blue Reflex Mica,41
Blueprint,42
Brands Hatch Gray Metallic,43
Bright White Clearcoat,44
Brilliant Black,45
Brilliant Silver Metallic,46
Bronze Dune Metallic,47
Brown,48
Burnished Bronze Metallic,49
C / C,50
Cajun Red Tintcoat,51
Carbon Black Metallic,52
Carbonized Gray Metallic,53
Carpathian Grey,54
Carpathian Grey Premium Metallic,55
Carrara White Metallic,56
Caspian Blue,57
Caviar,58
Cayenne Red Tintcoat,59
Chalk,60
China Blue,61
Chronos Gray,62
Chronos Gray Metallic,63
Cirrus Silver Metallic,64
Cobra Beige Metallic,65
Crimson Red Tintcoat,66
Crystal Black,67
Crystal Black Pearl,68
Crystal Black Silica,69
Crystal White Pearl,70
Custom Color,71
DB Black Clearcoat,72
Dark Ash Metallic,73
Dark Graphite Metallic,74
Dark Gray Metallic,75
Dark Matter Metallic,76
Dark Moon Blue Metallic,77
Dark Moss,78
Dark Sapphire,79
Dark Slate Metallic,80
Daytona Gray,81
Daytona Gray Pearl Effect,82
Daytona Gray Pearl Effect w/ Black Roof,83
Dazzling White,84
Deep Black Pearl Effect,85
Deep Blue Metallic,86
Deep Crystal Blue Mica,87
Delmonico Red Pearlcoat,88
Designo Magno Matte,89
Diamond Black,90
Diamond White,91
Donington Grey Metallic,92
Ebony Black,93
Ebony Twilight Metallic,94
Eiger Grey,95
Eiger Grey Metallic,96
Electric Blue Metallic,97
Ember Pearlcoat,98
Emerald Green Metallic,99
Emin White,100
Eminent White Pearl,101
Firecracker Red Clearcoat,102
Firenze Red,103
Firenze Red Metallic,104
Flame Red Clearcoat,105
Florett Silver,106
Fountain Blue,107
Frozen Dark Silver Metallic,108
Frozen White,109
Fuji White,110
GT SILVER,111
Garnet Red Metallic,112
Gecko Pearlcoat,113
Gentian Blue Metallic,114
Glacial White Pearl,115
Glacier,116
Glacier Blue Metallic,117
Glacier Silver Metallic,118
Glacier White,119
Glacier White Metallic,120
Go Mango!,121
Gold,122
Granite,123
Granite Crystal Clearcoat Metallic,124
Granite Crystal Metallic Clearcoat,125
Graphite Grey,126
Graphite Grey Metallic,127
Gray,128
Green,129
Grigio Nimbus,130
Gun Metallic,131
Hampton Gray,132
Hellayella Clearcoat,133
Horizon Blue,134
Hydro Blue Pearlcoat,135
Hyper Red,136
Ibis White,137
Ice,138
Ice Silver Metallic,139
Iconic Silver Metallic,140
Imperial Blue Metallic,141
Indus Silver,142
Infrared Tintcoat,143
Ingot Silver Metallic,144
Iridescent Pearl Tricoat,145
Iridium Metallic,146
Iridium Silver Metallic,147
Ironman Silver,148
Isle of Man Green Metallic,149
Jet Black Mica,150
Jungle Green,151
Jupiter Red,152
Kemora Gray Metallic,153
Kinetic Blue,154
Kodiak Brown Metallic,155
Liquid Platinum,156
Lizard Green,157
Lunar Blue Metallic,158
Lunar Rock,159
Lunar Silver Metallic,160
Lunare White Metallic,161
MANUFAKTUR Diamond White Bright,162
Machine Gray Metallic,163
Magnetic Black,164
Magnetic Gray Clearcoat,165
Magnetic Gray Metallic,166
Magnetic Metallic,167
Magnetite Black Metallic,168
Magnetite Gray Metallic,169
Majestic Black Pearl,170
Majestic Plum Metallic,171
Mango Tango Pearlcoat,172
Manhattan Noir Metallic,173
Maroon,174
Matador Red Metallic,175
Matador Red Mica,176
Matte White,177
Maximum Steel Metallic,178
Metallic,179
Midnight Black,180
Midnight Black Metallic,181
Midnight Blue Metallic,182
Midnight Silver Metallic,183
Mineral White,184
Moonlight Cloud,185
Mosaic Black Metallic,186
Mountain Air Metallic,187
Mythos Black,188
Mythos Black Metallic,189
Nautical Blue Pearl,190
Navarra Blue,191
Navarra Blue Metallic,192
Navarre Blue,193
Nebula Gray Pearl,194
Nero Daytona,195
Nero Noctis,196
Nightfall Gray Metallic,197
Nightfall Mica,198
Northsky Blue Metallic,199
Obsidian,200
Obsidian Black Metallic,201
Octane Red Pearlcoat,202
Onyx,203
Onyx Black,204
Orange,205
Orca Black Metallic,206
Oryx White Prl,207
Oxford White,208
Pacific Blue,209
Pacific Blue Metallic,210
Passion Red,211
Patriot Blue Pearlcoat,212
Pearl White,213
Phantom Black,214
Phantom Black Pearl Effect / Black Roof,215
Phytonic Blue Metallic,216
Pink,217
Platinum Gray Metallic,218
Platinum Quartz Metallic,219
Platinum White Pearl,220
Polymetal Gray Metallic,221
Portofino Blue Metallic,222
Portofino Gray,223
Pristine White,224
Pure White,225
Purple,226
Python Green,227
Quartz Blue Pearl,228
Quartz White,229
Quartzite Grey Metallic,230
Quicksilver Metallic,231
Radiant Red Metallic II,232
Rapid Red Metallic Tinted Clearcoat,233
Red,234
Red Multi,235
Red Obsession,236
Red Quartz Tintcoat,237
Redline Red,238
Reflex Silver,239
Remington Red Metallic,240
Rich Garnet Metallic,241
Rift Metallic,242
Rosso,243
Rosso Corsa,244
Rosso Mars Metallic,245
Ruby Flare Pearl,246
Ruby Red Metallic Tinted Clearcoat,247
Sandstone Metallic,248
Sangria Red,249
Santorin Black,250
Santorini Black,251
Santorini Black Metallic,252
Satin Steel Metallic,253
Scarlet Ember,254
Selenite Gray Metallic,255
Selenite Grey Metallic,256
Shadow Black,257
Shadow Gray Metallic,258
Shimmering Silver,259
Shoreline Blue Pearl,260
Silician Yellow,261
Silky Silver,262
Silver,263
Silver Flare Metallic,264
Silver Ice Metallic,265
Silver Mist,266
Silver Radiance,267
Silver Zynith,268
Siren Red Tintcoat,269
Snow White Pearl,270
Snowflake White Pearl,271
Snowflake White Pearl Metallic,272
Sonic Silver Metallic,273
Soul Red Crystal Metallic,274
Sparkling Silver,275
Star White,276
Stellar Black Metallic,277
Sting Gray Clearcoat,278
Stone Gray Metallic,279
Stormy Sea,280
Summit White,281
Sunset Drift Chromaflair,282
Super Black,283
Super White,284
Tan,285
Tango Red Metallic,286
Tempest,287
Thunder Gray,288
Titanium Silver,289
Tungsten Metallic,290
Twilight Black,291
Twilight Blue Metallic,292
Typhoon Gray,293
