int_col,int_col_map
AMG Black,0
Adrenaline Red,1
Agave Green,2
Almond Beige,3
Amber,4
Anthracite,5
Aragon Brown,6
Ash,7
BEIGE,8
BLACK,9
Beige,10
Beluga,11
Beluga Hide,12
Bianco Polar,13
Black,14
Black / Brown,15
Black / Express Red,16
Black / Graphite,17
Black / Gray,18
Black / Saddle,19
Black / Stone Grey,20
Black Onyx,21
Black w/Red Stitching,22
Black/Graphite,23
Black/Gun Metal,24
Black/Red,25
Black/Saddle Brown,26
Blk,27
Blue,28
Boulder,29
Brandy,30
Brown,31
Camel,32
Camel Leather,33
Canberra Beige,34
Canberra Beige/Black,35
Cappuccino,36
Caramel,37
Carbon Black,38
Ceramic,39
Charcoal,40
Charcoal Black,41
Charles Blue,42
Chateau,43
Chestnut,44
Classic Red,45
Cloud,46
Cobalt Blue,47
Cocoa / Dune,48
Dark Ash,49
Dark Auburn,50
Dark Galvanized,51
Dark Gray,52
Deep Chestnut,53
Deep Cypress,54
Deep Garnet,55
Diesel Gray / Black,56
Ebony,57
Ebony / Ebony Accents,58
Ebony / Pimento,59
Ebony Black,60
Ebony.,61
Ebony/Light Oyster Stitch,62
Espresso,63
Giallo Taurus / Nero Ade,64
Gideon,65
Global Black,66
Gold,67
Grace White,68
Graphite,69
Graphite w/Gun Metal,70
Gray,71
Gray w/Blue Bolsters,72
Graystone,73
Green,74
Hotspur,75
Hotspur Hide,76
Ice,77
Ivory / Ebony,78
Jet Black,79
Kyalami Orange,80
Light Gray,81
Light Platinum / Jet Black,82
Light Slate,83
Light Titanium,84
Linen,85
Macchiato,86
Macchiato Beige/Black,87
Macchiato/Magmagrey,88
Magma Red,89
Medium Ash Gray,90
Medium Dark Slate,91
Medium Earth Gray,92
Medium Light Camel,93
Medium Pewter,94
Medium Stone,95
Mesa,96
Mistral Gray / Raven,97
Mocha,98
Mountain Brown,99
Navy Pier,100
Nero,101
Nero Ade,102
Nougat Brown,103
ORANGE,104
Obsidian Black,105
Orange,106
Orchid,107
Oyster W/Contrast,108
Oyster/Black,109
Parchment,110
Parchment.,111
Pearl Beige,112
Pimento / Ebony,113
Pimento Red w/Ebony,114
Platinum,115
Porpoise,116
Portland,117
Red,118
Red / Black,119
Red/Black,120
Rhapsody Blue,121
Rioja Red,122
Roast,123
Rock Gray,124
Saddle Brown,125
Sahara Tan,126
Saiga Beige,127
Sakhir Orange,128
Sakhir Orange/Black,129
Sand Beige,130
Sandstone,131
Sarder Brown,132
Satin Black,133
Shale,134
Shara Beige,135
Silk Beige/Black,136
Silk Beige/Espresso Brown,137
Silver,138
Slate,139
Sport,140
Tan,141
Tan/Ebony,142
Tan/Ebony/Ebony,143
Tension,144
Titan Black,145
Titan Black / Quarzit,146
Tupelo,147
Very Light Cashmere,148
WHITE,149
Walnut,150
Whisper Beige,151
White,152
White / Brown,153
Yellow,154
–,155
