ID;Value;;15819
0;0,31;;
1;0,28;;
2;0,21;;
3;0,09;;
4;0,42;;
5;1,45;;
6;0,42;;
7;0,32;;
8;3,22;;
9;0,11;;
10;0,74;;
11;0,44;;
12;2,70;;
13;0,12;;
14;0,53;;
15;0,43;;
16;0,38;;
17;0,16;;
18;0,35;;
19;1,52;;
20;3,07;;
21;0,40;;
22;0,43;;
23;8,88;;
24;0,17;;
25;0,56;;
26;0,38;;
27;0,55;;
28;0,09;;
29;0,06;;
30;0,02;;
31;1,87;;
32;0,32;;
33;0,05;;
34;0,00;;
35;0,06;;
36;0,29;;
37;0,35;;
38;0,93;;
39;0,67;;
40;0,02;;
41;0,37;;
42;0,17;;
43;0,18;;
44;0,23;;
45;0,33;;
46;0,22;;
47;0,53;;
48;0,74;;
49;0,41;;
50;0,19;;
51;0,13;;
52;0,02;;
53;0,13;;
54;0,53;;
55;0,29;;
56;0,24;;
57;0,99;;
58;0,53;;
59;0,37;;
60;0,91;;
61;0,27;;
62;0,47;;
63;6,96;;
64;0,35;;
65;0,06;;
66;0,66;;
67;3,74;;
68;0,45;;
69;0,07;;
70;4,38;;
71;0,16;;
72;0,45;;
73;0,35;;
74;0,17;;
75;0,07;;
76;0,52;;
77;0,17;;
78;0,12;;
79;0,01;;
80;9,80;;
81;0,25;;
82;0,50;;
83;0,32;;
84;2,52;;
85;0,28;;
86;0,04;;
87;0,06;;
88;0,66;;
89;0,09;;
90;0,29;;
91;0,35;;
92;0,02;;
93;1,85;;
94;0,52;;
95;0,15;;
96;3,52;;
97;0,43;;
98;0,67;;
99;0,05;;
100;1,02;;
101;0,06;;
102;0,02;;
103;0,17;;
104;0,71;;
105;0,14;;
106;0,45;;
107;0,09;;
108;0,17;;
109;1,12;;
110;0,62;;
111;0,16;;
112;0,02;;
113;0,79;;
114;0,46;;
115;0,16;;
116;0,34;;
117;0,03;;
118;0,34;;
119;0,00;;
120;0,10;;
121;0,32;;
122;0,83;;
123;0,27;;
124;0,05;;
125;0,30;;
126;0,98;;
127;0,12;;
128;0,46;;
129;2,22;;
130;0,66;;
131;0,08;;
132;0,04;;
133;0,22;;
134;0,42;;
135;0,27;;
136;0,18;;
137;0,55;;
138;0,03;;
139;0,38;;
140;0,32;;
141;0,28;;
142;1,52;;
143;0,26;;
144;0,49;;
145;0,06;;
146;0,48;;
147;0,04;;
148;0,78;;
149;0,32;;
150;0,79;;
151;0,05;;
152;0,25;;
153;0,08;;
154;0,58;;
155;0,10;;
156;0,58;;
157;0,36;;
158;0,24;;
159;0,19;;
160;0,79;;
161;0,31;;
162;0,57;;
163;0,74;;
164;0,42;;
165;1,90;;
166;0,43;;
167;0,14;;
168;0,11;;
169;0,18;;
170;0,49;;
171;0,70;;
172;0,29;;
173;0,18;;
174;0,03;;
175;0,10;;
176;0,64;;
177;0,02;;
178;0,13;;
179;0,13;;
180;0,23;;
181;0,40;;
182;0,55;;
183;0,19;;
184;0,10;;
185;0,44;;
186;0,23;;
187;0,50;;
188;0,01;;
189;0,11;;
190;0,13;;
191;0,64;;
192;0,31;;
193;0,24;;
194;0,04;;
195;0,20;;
196;0,20;;
197;0,18;;
198;0,02;;
199;0,28;;
200;0,26;;
201;0,68;;
202;0,29;;
203;0,15;;
204;0,27;;
205;0,05;;
206;0,07;;
207;0,36;;
208;0,20;;
209;0,44;;
210;0,53;;
211;1,34;;
212;0,38;;
213;0,44;;
214;0,58;;
215;0,29;;
216;0,23;;
217;0,08;;
218;0,03;;
219;0,64;;
220;0,38;;
221;1,61;;
222;0,35;;
223;0,22;;
224;0,29;;
225;0,01;;
226;0,20;;
227;0,23;;
228;0,25;;
229;0,41;;
230;2,69;;
231;0,55;;
232;0,43;;
233;0,10;;
234;0,38;;
235;0,70;;
236;0,17;;
237;0,28;;
238;0,03;;
239;0,29;;
240;0,29;;
241;0,03;;
242;0,02;;
243;0,37;;
244;2,04;;
245;0,25;;
246;0,48;;
247;0,00;;
