weight_set_ID,in_node_ID,out_node_ID,weight
0,0,0,-0.3759176731109619
0,0,1,0.26330167055130005
0,0,2,-0.38046807050704956
0,0,3,0.28901350498199463
0,1,0,-0.1534656584262848
0,1,1,0.32886284589767456
0,1,2,-0.1962461769580841
0,1,3,-0.17313912510871887
0,2,0,-0.37904417514801025
0,2,1,-0.06573429703712463
0,2,2,-0.08248060941696167
0,2,3,0.014678716659545898
0,3,0,-0.18364480137825012
0,3,1,0.4326326251029968
0,3,2,-0.11936751008033752
0,3,3,-0.416890025138855
0,4,0,-0.25998979806900024
0,4,1,0.03851392865180969
0,4,2,-0.17559650540351868
0,4,3,-0.2756732702255249
1,0,0,-0.030764460563659668
1,0,1,0.08696234226226807
1,1,0,-0.3239048719406128
1,1,1,-0.30022764205932617
1,2,0,-0.40990132093429565
1,2,1,0.2865728735923767
1,3,0,-0.4539813995361328
1,3,1,-0.28715944290161133
2,0,0,-0.02643483877182007
2,1,0,0.0406070351600647
